ts,action,multiplier,fear,regime,reason
1970-01-01 05:37:21.202140+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202140100+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202140200+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202140300+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202140400+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202140500+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202140600+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202140700+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202140800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202140900+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202141+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202141100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202141200+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202141300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202141400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202141500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202141600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202141700+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.202141800+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.202141900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202142+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202142100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202142200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202142300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202142400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202142500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202142600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202142700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202142800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202142900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202143+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202143100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202143200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202143300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202143400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202143500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202143600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202143700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202143800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202143900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202144+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202144100+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202144200+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202144300+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202144400+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202144500+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202144600+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202144700+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202144800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202144900+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202145+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202145100+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.202145200+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.202145300+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.202145400+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.202145500+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.202145600+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.202145700+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.202145800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202145900+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202150+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202150100+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.202150200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202150300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202150400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202150500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202150600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202150700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202150800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202150900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202151+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202151100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202151200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202151300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202151400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202151500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202151600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202151700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202151800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202151900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202153+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.202153500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203090+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203090100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203090200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203090300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203090400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203090500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203090600+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203090700+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203090800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203090900+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203091+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203091100+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203091200+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203091300+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203091400+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203091500+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203091600+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203091700+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203091800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203091900+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203092+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203092100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203092200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203092300+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203092400+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203092500+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203092600+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203092700+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203092800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203092900+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203093+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203093100+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203093200+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203093300+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203093400+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203093500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203093600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203093700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203093800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203093900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203094+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203094100+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203094200+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203094300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203094400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203094500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203094600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203094700+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203094800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203094900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203095+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203095100+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203095200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203095300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203095400+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203095500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203095600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203095700+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203095800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203095900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203100100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203100200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203100300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203100400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203100500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203100600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203100700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203100800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203100900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203101+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203101100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203101200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203101300+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203101400+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203101500+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203101600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203101700+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203101800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203101900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203102+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203102100+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203102200+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203102300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203102400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203102500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203102600+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203102700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203102800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203102900+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203103+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203103100+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203103200+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203103300+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203103400+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203103500+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203103600+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203103700+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203103800+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203103900+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203104+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203104100+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203104200+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203104300+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203104400+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203104500+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203104600+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203104700+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203104800+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203104900+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203105+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203105100+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203105200+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203105300+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203105400+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203105500+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203105600+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203105700+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203105800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203105900+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203110+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203110100+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203110200+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203110300+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203110400+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203110500+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203110600+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203110700+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203110800+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203110900+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203111+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203111100+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203111200+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203111300+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203111400+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203111500+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203111600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203111700+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203111800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203111900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203112+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203112100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203112200+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203112300+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203112400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203112500+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203112600+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203112700+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203112800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203112900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203113+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203113100+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203113200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203113300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203113400+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203113500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203113600+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203113700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203113800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203113900+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203114+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203114100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203114200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203114300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203114400+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203114500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203114600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203114700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203114800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203114900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203115+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203115100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203115200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203115300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203115400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203115500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203115600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203115700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203115800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203115900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203120+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203120100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203120200+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203120300+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203120400+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203120500+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203120600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203120700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203120800+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203120900+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203121+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203121100+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203121200+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203121300+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203121400+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203121500+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203121600+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203121700+09:00,HOLD,1.0,0.5,BEAR,buy conditions not met
1970-01-01 05:37:21.203121800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203121900+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203122+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203122100+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203122200+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203122300+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203122400+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203122500+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203122600+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203122700+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
1970-01-01 05:37:21.203122800+09:00,HOLD,1.0,0.5,NEUTRAL,buy conditions not met
1970-01-01 05:37:21.203122900+09:00,HOLD,2.5,0.5,BULL,buy conditions not met
